Order Date,Order ID,Cust. ID,Cust. Name,Cust. Segment,Order Details ID,Product ID,Product Name,Prod. Category,Prod. Subcategory,Prod. Manufacturer,Quantity,Discount,Profit,Profit Ratio,Sales,Shipping Date,Shipping City,Ship State,Ship Region,Ship Post Code,Ship Mode,Year,
1/13/2015,CA-2015-162775,149,Chris Selesnick,Corporate,1472,17,3-ring staple pack,Office Supplies,Binders,3-ring staple pack,3,0.00%,$3.00,48.00%,$6.00,1/15/2015,Bossier City,Louisiana,South,71111,Second Class,2015,Jan-2015
1/13/2015,CA-2015-162775,149,Chris Selesnick,Corporate,1473,1501,Staple envelope,Office Supplies,Envelopes,Staple envelope,2,0.00%,$5.00,47.00%,$11.00,1/15/2015,Bossier City,Louisiana,South,71111,Second Class,2015,Jan-2015
1/13/2015,CA-2015-162775,149,Chris Selesnick,Corporate,1474,374,Brown Kraft Recycled Envelopes,Office Supplies,Envelopes,Other,3,0.00%,$25.00,50.00%,$51.00,1/15/2015,Bossier City,Louisiana,South,71111,Second Class,2015,Jan-2015
1/13/2015,CA-2015-162775,149,Chris Selesnick,Corporate,1475,659,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage,Fellowes,6,0.00%,$34.00,6.00%,$573.00,1/15/2015,Bossier City,Louisiana,South,71111,Second Class,2015,Jan-2015
1/13/2015,CA-2015-162775,149,Chris Selesnick,Corporate,1476,1282,Plantronics S12 Corded Telephone Headset System,Technology,Accessories,Plantronics,6,0.00%,$259.00,40.00%,$647.00,1/15/2015,Bossier City,Louisiana,South,71111,Second Class,2015,Jan-2015
1/14/2015,CA-2015-149524,106,Brendan Sweed,Corporate,1207,1431,Sauder Cornerstone Collection Library,Furniture,Bookcases,Sauder,4,50.00%,-$53.00,-86.00%,$62.00,1/15/2015,Philadelphia,Pennsylvania,East,19140,First Class,2015,Jan-2015
1/15/2015,CA-2015-103366,265,Erica Hackney,Consumer,104,1000,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,Logitech,5,0.00%,$66.00,44.00%,$150.00,1/17/2015,Roswell,Georgia,South,30076,First Class,2015,Jan-2015
1/16/2015,CA-2015-115791,220,Delfina Latchford,Consumer,411,694,GBC Linen Binding Covers,Office Supplies,Binders,GBC,2,70.00%,-$14.00,-73.00%,$19.00,1/18/2015,Philadelphia,Pennsylvania,East,19134,Second Class,2015,Jan-2015
1/16/2015,CA-2015-115791,220,Delfina Latchford,Consumer,412,1365,Round Specialty Laser Printer Labels,Office Supplies,Labels,Other,3,20.00%,$10.00,34.00%,$30.00,1/18/2015,Philadelphia,Pennsylvania,East,19134,Second Class,2015,Jan-2015
1/16/2015,CA-2015-115791,220,Delfina Latchford,Consumer,413,157,AT&T 841000 Phone,Technology,Phones,AT&T,3,40.00%,-$31.00,-25.00%,$124.00,1/18/2015,Philadelphia,Pennsylvania,East,19134,Second Class,2015,Jan-2015
1/16/2015,CA-2015-115791,220,Delfina Latchford,Consumer,414,484,DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings,DAX,6,20.00%,$29.00,23.00%,$127.00,1/18/2015,Philadelphia,Pennsylvania,East,19134,Second Class,2015,Jan-2015
1/18/2015,CA-2015-123477,212,David Wiener,Corporate,585,645,Fellowes Mighty 8 Compact Surge Protector,Office Supplies,Appliances,Fellowes,4,20.00%,$6.00,10.00%,$65.00,1/21/2015,Springfield,Oregon,West,97477,Second Class,2015,Jan-2015
1/19/2015,CA-2015-146591,755,Toby Swindell,Consumer,1152,711,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders,GBC,10,70.00%,-$24.00,-73.00%,$32.00,1/20/2015,Scottsdale,Arizona,West,85254,First Class,2015,Jan-2015
1/19/2015,CA-2015-146591,755,Toby Swindell,Consumer,1153,1571,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Office Supplies,Paper,TOPS,4,20.00%,$20.00,35.00%,$56.00,1/20/2015,Scottsdale,Arizona,West,85254,First Class,2015,Jan-2015
1/19/2015,CA-2015-146591,755,Toby Swindell,Consumer,1154,1589,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,Tyvek,5,20.00%,$37.00,34.00%,$109.00,1/20/2015,Scottsdale,Arizona,West,85254,First Class,2015,Jan-2015
1/19/2015,CA-2015-146591,755,Toby Swindell,Consumer,1155,1191,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,O'Sullivan,5,70.00%,-$321.00,-177.00%,$181.00,1/20/2015,Scottsdale,Arizona,West,85254,First Class,2015,Jan-2015
1/20/2015,CA-2015-148614,498,Mark Van Huff,Consumer,1190,565,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,Eldon,2,0.00%,$6.00,30.00%,$19.00,1/25/2015,Los Angeles,California,West,90049,Standard Class,2015,Jan-2015
1/20/2015,CA-2015-148614,498,Mark Van Huff,Consumer,1191,1663,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper,Wirebound,2,0.00%,$9.00,48.00%,$19.00,1/25/2015,Los Angeles,California,West,90049,Standard Class,2015,Jan-2015
1/20/2015,CA-2015-167927,789,Xylona Preis,Consumer,1620,574,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,Eldon,1,0.00%,$4.00,29.00%,$14.00,1/26/2015,Westland,Michigan,Central,48185,Standard Class,2015,Jan-2015
1/20/2015,CA-2015-167927,789,Xylona Preis,Consumer,1621,1595,Ultra Door Push Plate,Furniture,Furnishings,Ultra,3,0.00%,$5.00,33.00%,$15.00,1/26/2015,Westland,Michigan,Central,48185,Standard Class,2015,Jan-2015
1/20/2015,CA-2015-167927,789,Xylona Preis,Consumer,1622,58,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,Binders,Acco,5,0.00%,$9.00,47.00%,$19.00,1/26/2015,Westland,Michigan,Central,48185,Standard Class,2015,Jan-2015
1/20/2015,CA-2015-167927,789,Xylona Preis,Consumer,1623,1519,Storex Dura Pro Binders,Office Supplies,Binders,Storex,5,0.00%,$13.00,45.00%,$30.00,1/26/2015,Westland,Michigan,Central,48185,Standard Class,2015,Jan-2015
1/20/2015,CA-2015-167927,789,Xylona Preis,Consumer,1624,1239,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Office Supplies,Art,Panasonic,3,0.00%,$13.00,29.00%,$44.00,1/26/2015,Westland,Michigan,Central,48185,Standard Class,2015,Jan-2015
1/20/2015,CA-2015-167927,789,Xylona Preis,Consumer,1625,637,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Storage,Fellowes,2,0.00%,$16.00,24.00%,$67.00,1/26/2015,Westland,Michigan,Central,48185,Standard Class,2015,Jan-2015
1/20/2015,CA-2015-167927,789,Xylona Preis,Consumer,1626,815,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,Holmes,4,10.00%,$94.00,38.00%,$248.00,1/26/2015,Westland,Michigan,Central,48185,Standard Class,2015,Jan-2015
1/20/2015,CA-2015-167927,789,Xylona Preis,Consumer,1627,560,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings,Eldon,3,0.00%,$30.00,11.00%,$273.00,1/26/2015,Westland,Michigan,Central,48185,Standard Class,2015,Jan-2015
1/20/2015,US-2015-147627,335,Hunter Lopez,Consumer,8518,1142,Newell 327,Office Supplies,Art,Newell,3,0.00%,$2.00,27.00%,$7.00,1/26/2015,Jonesboro,Arkansas,South,72401,Standard Class,2015,Jan-2015
1/20/2015,US-2015-147627,335,Hunter Lopez,Consumer,8519,1169,Newell 351,Office Supplies,Art,Newell,7,0.00%,$7.00,29.00%,$23.00,1/26/2015,Jonesboro,Arkansas,South,72401,Standard Class,2015,Jan-2015
1/20/2015,US-2015-147627,335,Hunter Lopez,Consumer,8520,1501,Staple envelope,Office Supplies,Envelopes,Staple envelope,3,0.00%,$11.00,47.00%,$23.00,1/26/2015,Jonesboro,Arkansas,South,72401,Standard Class,2015,Jan-2015
1/20/2015,US-2015-147627,335,Hunter Lopez,Consumer,8521,565,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,Eldon,4,0.00%,$12.00,30.00%,$39.00,1/26/2015,Jonesboro,Arkansas,South,72401,Standard Class,2015,Jan-2015
1/20/2015,US-2015-147627,335,Hunter Lopez,Consumer,8522,145,Apple iPhone 5C,Technology,Phones,Apple,7,0.00%,$182.00,26.00%,$700.00,1/26/2015,Jonesboro,Arkansas,South,72401,Standard Class,2015,Jan-2015
1/20/2015,US-2015-147627,335,Hunter Lopez,Consumer,8523,826,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,Hon,3,0.00%,$224.00,21.00%,"$1,068.00",1/26/2015,Jonesboro,Arkansas,South,72401,Standard Class,2015,Jan-2015
1/20/2015,US-2015-147774,551,Muhammed MacIntyre,Corporate,8529,686,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,GBC,1,70.00%,-$52.00,-77.00%,$67.00,1/26/2015,Smyrna,Tennessee,South,37167,Standard Class,2015,Jan-2015
1/21/2015,CA-2015-110422,759,Tom Boeckenhauer,Consumer,280,1594,Ultra Door Pull Handle,Furniture,Furnishings,Ultra,3,20.00%,$4.00,16.00%,$25.00,1/23/2015,Miami,Florida,South,33180,Second Class,2015,Jan-2015
1/23/2015,CA-2015-102645,336,Ionia McGrath,Consumer,70,1746,Xerox 195,Office Supplies,Paper,Xerox,6,0.00%,$19.00,48.00%,$40.00,1/28/2015,Las Vegas,Nevada,West,89115,Standard Class,2015,Jan-2015
1/23/2015,CA-2015-146997,706,Speros Goranitis,Consumer,1173,119,"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,Fasteners,Alliance,3,0.00%,$0.00,0.00%,$6.00,1/27/2015,Lafayette,Indiana,Central,47905,Standard Class,2015,Jan-2015
1/26/2015,CA-2015-167997,130,Carol Adams,Corporate,1628,1632,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Office Supplies,Binders,Wilson Jones,2,0.00%,$5.00,47.00%,$11.00,1/29/2015,Rapid City,South Dakota,Central,57701,First Class,2015,Jan-2015
1/26/2015,CA-2015-167997,130,Carol Adams,Corporate,1629,1389,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases,SAFCO,2,0.00%,$40.00,28.00%,$142.00,1/29/2015,Rapid City,South Dakota,Central,57701,First Class,2015,Jan-2015
1/26/2015,US-2015-155502,698,Shirley Daniels,Home Office,8560,576,Eldon Image Series Black Desk Accessories,Furniture,Furnishings,Eldon,3,0.00%,$4.00,36.00%,$12.00,1/31/2015,Alexandria,Virginia,South,22304,Standard Class,2015,Jan-2015
1/26/2015,US-2015-155502,698,Shirley Daniels,Home Office,8561,1347,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Office Supplies,Paper,REDIFORM,2,0.00%,$8.00,50.00%,$17.00,1/31/2015,Alexandria,Virginia,South,22304,Standard Class,2015,Jan-2015
1/26/2015,US-2015-155502,698,Shirley Daniels,Home Office,8562,608,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Office Supplies,Paper,Eureka,3,0.00%,$9.00,48.00%,$19.00,1/31/2015,Alexandria,Virginia,South,22304,Standard Class,2015,Jan-2015
1/26/2015,US-2015-155502,698,Shirley Daniels,Home Office,8563,731,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Furniture,Furnishings,GE,3,0.00%,$31.00,49.00%,$63.00,1/31/2015,Alexandria,Virginia,South,22304,Standard Class,2015,Jan-2015
1/26/2015,US-2015-155502,698,Shirley Daniels,Home Office,8564,1045,Macally Suction Cup Mount,Technology,Phones,Other,13,0.00%,$0.00,0.00%,$155.00,1/31/2015,Alexandria,Virginia,South,22304,Standard Class,2015,Jan-2015
1/26/2015,US-2015-155502,698,Shirley Daniels,Home Office,8565,938,Jabra SPEAK 410,Technology,Phones,Jabra,2,0.00%,$53.00,28.00%,$188.00,1/31/2015,Alexandria,Virginia,South,22304,Standard Class,2015,Jan-2015
1/26/2015,US-2015-155502,698,Shirley Daniels,Home Office,8566,1376,"SAFCO Commercial Wire Shelving, 72h",Office Supplies,Storage,SAFCO,8,0.00%,$0.00,0.00%,$490.00,1/31/2015,Alexandria,Virginia,South,22304,Standard Class,2015,Jan-2015
1/27/2015,US-2015-117163,247,Ed Jacobs,Consumer,8387,523,Dixon Ticonderoga Core-Lock Colored Pencils,Office Supplies,Art,Dixon,4,0.00%,$12.00,33.00%,$36.00,2/2/2015,San Diego,California,West,92037,Standard Class,2015,Jan-2015
1/27/2015,US-2015-117163,247,Ed Jacobs,Consumer,8388,1344,Recycled Steel Personal File for Hanging File Folders,Office Supplies,Storage,Other,1,0.00%,$14.00,25.00%,$57.00,2/2/2015,San Diego,California,West,92037,Standard Class,2015,Jan-2015
1/27/2015,US-2015-117163,247,Ed Jacobs,Consumer,8389,279,Balt Split Level Computer Training Table,Furniture,Tables,Balt,3,20.00%,-$17.00,-5.00%,$333.00,2/2/2015,San Diego,California,West,92037,Standard Class,2015,Jan-2015
1/28/2015,CA-2015-100328,355,Jasper Cacioppo,Consumer,16,1313,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,Pressboard,1,20.00%,$1.00,34.00%,$4.00,2/3/2015,New York City,New York,East,10024,Standard Class,2015,Jan-2015
1/30/2015,CA-2015-134103,545,Mike Vittorini,Consumer,890,1770,Xerox 1972,Office Supplies,Paper,Xerox,2,0.00%,$5.00,45.00%,$11.00,2/4/2015,Detroit,Michigan,Central,48234,Standard Class,2015,Jan-2015
1/30/2015,CA-2015-134103,545,Mike Vittorini,Consumer,891,1484,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,Space Solutions,2,0.00%,$7.00,3.00%,$230.00,2/4/2015,Detroit,Michigan,Central,48234,Standard Class,2015,Jan-2015
1/31/2015,CA-2015-115161,469,Liz Carlisle,Consumer,404,1432,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,Sauder,2,15.00%,$3.00,1.00%,$291.00,2/2/2015,Mission Viejo,California,West,92691,First Class,2015,Jan-2015
2/1/2015,CA-2015-140795,100,Bradley Drucker,Consumer,1024,601,Enermax Aurora Lite Keyboard,Technology,Accessories,Enermax,6,0.00%,$206.00,44.00%,$469.00,2/3/2015,Green Bay,Wisconsin,Central,54302,First Class,2015,Feb-2015
2/2/2015,CA-2015-123400,261,Eric Barreto,Consumer,583,1529,Surelock Post Binders,Office Supplies,Binders,Other,2,70.00%,-$12.00,-67.00%,$18.00,2/9/2015,Saint Petersburg,Florida,South,33710,Standard Class,2015,Feb-2015
2/2/2015,CA-2015-123400,261,Eric Barreto,Consumer,584,156,AT&T 17929 Lendline Telephone,Technology,Phones,AT&T,5,20.00%,$14.00,8.00%,$181.00,2/9/2015,Saint Petersburg,Florida,South,33710,Standard Class,2015,Feb-2015
2/2/2015,CA-2015-139857,185,Cynthia Delaney,Home Office,993,1507,Staples,Office Supplies,Fasteners,Other,5,0.00%,$6.00,47.00%,$12.00,2/6/2015,San Diego,California,West,92037,Standard Class,2015,Feb-2015
2/3/2015,CA-2015-111059,759,Tom Boeckenhauer,Consumer,301,239,Avery Durable Poly Binders,Office Supplies,Binders,Avery,3,20.00%,$4.00,33.00%,$13.00,2/6/2015,Seattle,Washington,West,98105,Second Class,2015,Feb-2015
2/3/2015,CA-2015-111059,759,Tom Boeckenhauer,Consumer,302,899,Ibico Laser Imprintable Binding System Covers,Office Supplies,Binders,Ibico,2,20.00%,$27.00,33.00%,$84.00,2/6/2015,Seattle,Washington,West,98105,Second Class,2015,Feb-2015
2/4/2015,CA-2015-104808,495,Mark Haberlin,Corporate,160,711,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders,GBC,2,20.00%,$6.00,35.00%,$17.00,2/8/2015,Escondido,California,West,92025,Second Class,2015,Feb-2015
2/4/2015,CA-2015-107181,217,Deborah Brumfield,Home Office,206,1087,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Office Supplies,Paper,Message Book,4,0.00%,$16.00,47.00%,$34.00,2/8/2015,San Diego,California,West,92024,Standard Class,2015,Feb-2015
2/4/2015,CA-2015-107181,217,Deborah Brumfield,Home Office,207,706,GBC Recycled Grain Textured Covers,Office Supplies,Binders,GBC,3,20.00%,$29.00,35.00%,$83.00,2/8/2015,San Diego,California,West,92024,Standard Class,2015,Feb-2015
2/6/2015,CA-2015-108182,220,Delfina Latchford,Consumer,231,244,"Avery Flip-Chart Easel Binder, Black",Office Supplies,Binders,Avery,2,80.00%,-$15.00,-165.00%,$9.00,2/10/2015,Romeoville,Illinois,Central,60441,Second Class,2015,Feb-2015
2/6/2015,CA-2015-131905,563,Neil Ducich,Corporate,825,188,Avery 480,Office Supplies,Labels,Avery,4,0.00%,$7.00,48.00%,$15.00,2/9/2015,Chesapeake,Virginia,South,23320,First Class,2015,Feb-2015
2/6/2015,CA-2015-131905,563,Neil Ducich,Corporate,826,159,AT&T CL82213,Technology,Phones,AT&T,5,0.00%,$42.00,29.00%,$145.00,2/9/2015,Chesapeake,Virginia,South,23320,First Class,2015,Feb-2015
2/6/2015,CA-2015-131905,563,Neil Ducich,Corporate,827,33,Aastra 57i VoIP phone,Technology,Phones,Other,1,0.00%,$42.00,26.00%,$162.00,2/9/2015,Chesapeake,Virginia,South,23320,First Class,2015,Feb-2015
2/7/2015,CA-2015-107755,183,Cyma Kinney,Corporate,219,1066,Maxell DVD-RAM Discs,Technology,Accessories,Maxell,7,0.00%,$50.00,43.00%,$115.00,2/12/2015,Linden,New Jersey,East,7036,Standard Class,2015,Feb-2015
2/7/2015,US-2015-169390,149,Chris Selesnick,Corporate,8639,54,Acco Perma 4000 Stacking Storage Drawers,Office Supplies,Storage,Acco,4,0.00%,$10.00,15.00%,$65.00,2/10/2015,New York City,New York,East,10024,Second Class,2015,Feb-2015
2/8/2015,CA-2015-125759,562,Nathan Mautz,Home Office,649,1055,"Master Caster Door Stop, Large Brown",Furniture,Furnishings,Master Caster,2,0.00%,$6.00,38.00%,$15.00,2/9/2015,North Las Vegas,Nevada,West,89031,First Class,2015,Feb-2015
2/11/2015,CA-2015-127614,558,Natalie Fritzler,Consumer,718,1647,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,Wilson Jones,2,0.00%,$8.00,47.00%,$17.00,2/15/2015,Chesapeake,Virginia,South,23320,Standard Class,2015,Feb-2015
2/11/2015,CA-2015-127614,558,Natalie Fritzler,Consumer,719,601,Enermax Aurora Lite Keyboard,Technology,Accessories,Enermax,3,0.00%,$103.00,44.00%,$234.00,2/15/2015,Chesapeake,Virginia,South,23320,Standard Class,2015,Feb-2015
2/11/2015,CA-2015-127614,558,Natalie Fritzler,Consumer,720,819,Hon 2111 Invitation Series Corner Table,Furniture,Tables,Hon,6,0.00%,$75.00,6.00%,"$1,256.00",2/15/2015,Chesapeake,Virginia,South,23320,Standard Class,2015,Feb-2015
2/11/2015,CA-2015-168368,314,Guy Armstrong,Consumer,1636,1652,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Office Supplies,Binders,Wilson Jones,2,0.00%,$4.00,46.00%,$10.00,2/15/2015,Columbia,Missouri,Central,65203,Second Class,2015,Feb-2015
2/11/2015,CA-2015-168368,314,Guy Armstrong,Consumer,1637,191,Avery 483,Office Supplies,Labels,Avery,3,0.00%,$7.00,46.00%,$15.00,2/15/2015,Columbia,Missouri,Central,65203,Second Class,2015,Feb-2015
2/11/2015,CA-2015-168368,314,Guy Armstrong,Consumer,1638,1602,VariCap6 Expandable Binder,Office Supplies,Binders,Other,3,0.00%,$24.00,47.00%,$52.00,2/15/2015,Columbia,Missouri,Central,65203,Second Class,2015,Feb-2015
2/11/2015,CA-2015-168368,314,Guy Armstrong,Consumer,1639,771,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,Global,1,0.00%,$15.00,25.00%,$61.00,2/15/2015,Columbia,Missouri,Central,65203,Second Class,2015,Feb-2015
